agent,keyword,pages,date,fname
한겨레,,700,2020_11_11_150040,[한겨레]2020_11_11_150040.csv
중앙,,700,2020_11_11_180353,[중앙]2020_11_11_180353.csv
한경,,2000,2020_11_12_014522,[한경]2020_11_12_014522.csv
매경,,2000,2020_11_12_170006,[매경]2020_11_12_170006.csv
한겨레,,150,2020_11_12_183618,[한겨레]2020_11_12_183618.csv
한겨레,,150,2020_11_12_184305,[한겨레]2020_11_12_184305.csv
중앙,,400,2020_11_12_195635,[중앙]2020_11_12_195635.csv
한경,,1400,2020_11_13_000238,[한경]2020_11_13_000238.csv
매경,,2000,2020_11_13_154821,[매경]2020_11_13_154821.csv
경향,,236,2020_11_16_110944,[경향]2020_11_16_110944.csv
경향,,19,2020_11_16_113658,[경향]2020_11_16_113658.csv
동아,,2000,2020_11_16_115021,[동아]2020_11_16_115021.csv
경향,,115,2020_11_16_115153,[경향]2020_11_16_115153.csv
동아,N/A,1500,2020_11_16_145114,[동아]2020_11_16_145114.csv
